id,n_victimas,aaaa,mm,dd,fecha,hora,hh,direccion_normalizada,comuna,tipo_calle,otra_direccion,calle,altura,cruce,geocodificacion_caba,longitud,latitud,victima,acusado,participantes,moto,auto,transporte_publico,camion,ciclista,gravedad,origen,lugar_del_hecho,tipo_de_calle,dirección normalizada,xy_caba,año,mes
LC-2020-0002346,1,2020,1,2,2020-01-02 00:00:00,13,13,ALVEAR AV. y AYACUCHO,2,AVENIDA,SD,ALVEAR AV.,0.0,AYACUCHO,Point (106797.883397132 104615.00964936),-58.389203129482,-34.587646270159,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0003360,1,2020,1,2,2020-01-02 00:00:00,17,17,"SANTA FE AV. y CARRANZA, ANGEL JUSTINIANO",14,AVENIDA,SD,SANTA FE AV.,0.0,"CARRANZA, ANGEL JUSTINIANO",Point (102912.149263197 105841.419526443),-58.431561455891,-34.576609010579,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0004057,1,2020,1,3,2020-01-03 00:00:00,3,3,GURRUCHAGA y MUÃ‘ECAS,15,CALLE,SD,GURRUCHAGA,0.0,MUÃ‘ECAS,Point (101609.477757533 103183.144235567),-58.445753737126,-34.600574687554,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0004991,1,2020,1,3,2020-01-03 00:00:00,12,12,IGUAZU y LOS PATOS,4,CALLE,SD,IGUAZU,0.0,LOS PATOS,Point (105227.781738843 98665.3391749365),-58.40628083649,-34.641288112398,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0006408,1,2020,1,3,2020-01-03 00:00:00,21,21,"GANDARA y VICTORICA, BENJAMIN, GENERAL, AV.",15,CALLE,SD,GANDARA,0.0,"VICTORICA, BENJAMIN, GENERAL, AV.",Point (98536.5406498828 105187.697470956),-58.479250131233,-34.582504811925,CICLISTA,MOVIL,CICLISTA-MOVIL,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0006530,1,2020,1,4,2020-01-04 00:00:00,9,9,"DIAZ, CNEL. AV. y JUNCAL",14,AVENIDA,SD,"DIAZ, CNEL. AV.",0.0,JUNCAL,Point (105044.144082703 104738.222968819),-58.408319471806,-34.586545585325,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0009145,1,2020,1,5,2020-01-05 00:00:00,21,21,CHARCAS y PUEYRREDON AV.,2,AVENIDA,SD,CHARCAS,0.0,PUEYRREDON AV.,Point (105547.605528476 103708.62443504),-58.402825196249,-34.595824269206,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0009835,1,2020,1,6,2020-01-06 00:00:00,10,10,"CEVALLOS, VIRREY y CONSTITUCION",1,CALLE,SD,"CEVALLOS, VIRREY",0.0,CONSTITUCION,Point (106869.21740116 100478.065377604),-58.388392381074,-34.624937924803,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0010884,1,2020,1,6,2020-01-06 00:00:00,16,16,MONTEAGUDO y CASEROS AV.,4,CALLE,SD,MONTEAGUDO,0.0,CASEROS AV.,Point (105289.659199484 99127.4618031136),-58.405608797816,-34.637122055018,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0014353,1,2020,1,7,2020-01-07 00:00:00,17,17,JUNCAL y ECUADOR,2,CALLE,SD,JUNCAL,0.0,ECUADOR,Point (105584.569535095 104246.042090377),-58.402425751072,-34.590979554343,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
